iter	Passed	Remaining
876	2013	282
877	2014	279
878	2016	277
879	2017	275
880	2018	272
881	2019	270
882	2020	267
883	2022	265
884	2024	263
885	2025	260
886	2027	258
887	2028	255
888	2030	253
889	2031	251
890	2033	248
891	2035	246
892	2038	244
893	2039	241
894	2040	239
895	2041	237
896	2043	234
897	2045	232
898	2046	229
899	2047	227
900	2049	225
901	2050	222
902	2052	220
903	2054	218
904	2055	215
905	2057	213
906	2058	211
907	2060	208
908	2061	206
909	2062	204
910	2064	201
911	2065	199
912	2067	197
913	2069	194
914	2071	192
915	2073	190
916	2075	187
917	2076	185
918	2078	183
919	2080	180
920	2082	178
921	2085	176
922	2088	174
923	2090	171
924	2092	169
925	2094	167
926	2096	165
927	2098	162
928	2099	160
929	2100	158
930	2103	155
931	2104	153
932	2106	151
933	2108	148
934	2110	146
935	2112	144
936	2113	142
937	2115	139
938	2116	137
939	2118	135
940	2119	132
941	2121	130
942	2123	128
943	2125	126
944	2126	123
945	2128	121
946	2129	119
947	2131	116
948	2132	114
949	2133	112
950	2134	110
951	2136	107
952	2138	105
953	2141	103
954	2142	100
955	2144	98
956	2146	96
957	2147	94
958	2149	91
959	2150	89
960	2151	87
961	2153	85
962	2155	82
963	2157	80
964	2159	78
965	2161	76
966	2163	73
967	2164	71
968	2166	69
969	2168	67
970	2170	64
971	2172	62
972	2174	60
973	2177	58
974	2178	55
975	2179	53
976	2182	51
977	2184	49
978	2185	46
979	2187	44
980	2189	42
981	2191	40
982	2193	37
983	2194	35
984	2196	33
985	2198	31
986	2200	28
987	2201	26
988	2204	24
989	2206	22
990	2208	20
991	2211	17
992	2213	15
993	2215	13
994	2217	11
995	2219	8
996	2221	6
997	2222	4
998	2224	2
999	2227	0
